seqno,noref,nama,alamat1,alamat2,alamat3,kota,kodepos,tglupl,tipe,serv_type,HARGA
201701300011MG,010304404MG,NURMA MANRY MARPAUNG,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300012MG,010304413MG,IIS SYARIFAH,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300013MG,010304431MG,DONA FERBIANA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300014MG,010304486MG,WILSON TAMBUNAN,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300015MG,010305608MG,TEGUH SUSILO,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300016MG,010301354MG,TIURLAN BORU MANURUN,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300017MG,010301381MG,NINDYA MARRETHA SAPU,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300018MG,010301372MG,MUSTOFA ROMDLONI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300019MG,010301513MG,BAMBANG IRAWAN,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300020MG,010301728MG,RUDYANSYAH,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300021MG,010301443MG,ARRIS DEDI RISDAHMUD,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300022MG,010302282MG,RENDY ADITYA PRATAMA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300023MG,010302335MG,ALBERT SAMUEL MAROJA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300024MG,010302488MG,DEWI SATRIYANA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300025MG,010305582MG,SERAVINA GLYSERIA AR,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300026MG,010301452MG,NEFO JUDIANTO WAHYUD,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300027MG,010301461MG,ANDI DARMAWAN ADITYA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300028MG,010301942MG,KHAIRUNNISA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300029MG,010302077MG,REZA HARDIAWAN,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300030MG,010302237MG,ATI RAHMAWATI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300031MG,010302273MG,RISMAN ADINATA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300032MG,010302479MG,IDHAM GARY POLYANSYA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300033MG,010302512MG,BERNADETTE CARLA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300034MG,010304333MG,TRESNA ANDRYAN,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300035MG,010304583MG,HASAN NUR SOLEH,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300036MG,010305564MG,ERNA HERLINA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300037MG,010301112MG,HERMAWAN KAMILI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300038MG,010301265MG,BAMBANG UTOMO,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300039MG,010301292MG,LIM ANGELICA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300040MG,010301390MG,DECI ZULVI AMELIA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300041MG,010301434MG,MUHAMAD SULISTYO,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300042MG,010301577MG,BULYAMIN,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300043MG,010304342MG,DIAN PERWITOSARI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300044MG,010302497MG,MARIYANI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300045MG,010304271MG,RINI APOLIANI ARIEF,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300046MG,010305591MG,ZULFADLI SAMAN,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300047MG,010299651MG,SARAH RAINY ASIAN HU,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300048MG,010301568MG,NURLAILA SARI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300049MG,010302451MG,SUCI SETIAWATI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300050MG,010302521MG,FAUZIAH,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300051MG,010304262MG,INDRA SURYONO,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300052MG,010304299MG,YODHA RIZKY,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300053MG,010304306MG,MUHAMAD YUSUP,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300054MG,010304315MG,KARTINI EKAWATI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300055MG,010304324MG,HARI ZAINUL ARIFIN,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300056MG,010304351MG,MARINA SRI DINIYATI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300057MG,010304379MG,YUNITA WAGISARI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300058MG,010304388MG,ERIKA WIDI ASTUTI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300059MG,010304397MG,FERRY HATTAWIDIAN,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300060MG,010304422MG,YUNI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300061MG,010304440MG,SINTA PRASETYOWATI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300062MG,010304690MG,NENENG HANDAYANI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300063MG,010305788MG,CHARLES TAMBUNAN,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300064MG,010305895MG,MOHAMMAD BARLIANTO,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300065MG,010305975MG,NI WAYAN WIGNA ANDAR,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300066MG,010301363MG,HENDRI IRAWAN,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300067MG,010301318MG,DIDIET ADITYA B,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300068MG,010302175MG,TAMBATEN BANGUN,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300069MG,010302246MG,RISA PURWANTI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300070MG,010305797MG,EMMY SUSILAWATI HUTA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300071MG,010302120MG,KIKI TRI HARTATI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300072MG,010305948MG,SRI DEWI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300073MG,010305733MG,DEDY FATTAH,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300074MG,010305751MG,ELNORA SARI SINAGA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300075MG,010305886MG,SALLY,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300076MG,010305804MG,AIDA HAFNI LUBIS,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300077MG,010305662MG,YUSMALIZA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300078MG,010305724MG,MICAEL ANDEPA PINEM,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300079MG,010305760MG,HEVA JULIETTA SINAGA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300080MG,010305840MG,AFIF ANAS PRAMANA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300081MG,010302656MG,BUDI SANTOSO,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300082MG,010302567MG,DIAN APRILIA SARI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300083MG,010302665MG,EILYN PUSPASARI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300084MG,008370309MG,ERNAWATI SOEMARYO,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300085MG,010302576MG,HARTONO HARIS,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300086MG,002577624MG,LAUW HIAW KHIONG,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300087MG,010302558MG,LIUS BUNTARAN,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300088MG,010302709MG,MOENDING,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300089MG,010302727MG,MULYONO RAHARJO,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300090MG,010302601MG,NG SIAW HUN YUNI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300091MG,010302674MG,TRI HANDONO,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300092MG,010302585MG,YOFINA ADEL,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300093MG,001589053MG,ANGGI HENDAYANI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300094MG,001606567MG,CHRISTIN AGUSTIN SAN,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300095MG,001497960MG,DADAN SUAIDI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300096MG,001496191MG,DEWI HAMIDAH,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300097MG,001578641MG,DIAN SRI KUSDIHANI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300098MG,000186651MG,EDI SUNANDAR,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300099MG,001580004MG,FITRIANA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300100MG,001551146MG,HERIYATI KHODIJAH,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300101MG,001558597MG,IDA MARDIAH,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300102MG,000773835MG,LAURA LINN HALIM,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300103MG,001509837MG,LAY FUI TJU,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300104MG,000938709MG,LUH PUTU WIDI ARNITA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300105MG,000906477MG,MUFIDAL BAHRI LUBIS,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300106MG,001575887MG,PEGGY NATALIA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300107MG,001568948MG,PHILIPO ALTRU PATRIA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300108MG,001601643MG,RIKEU NUR ANDRIANI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300109MG,001550672MG,SAMUEL ADI PERDANA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300110MG,001589052MG,SITI MAEMUNAH,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300111MG,000873219MG,TATTI NAWANGSIH C/O,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300112MG,001552398MG,VANI ANGGRIANI BAROK,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300113MG,005297181MG,YOKE ANI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300114MG,001437826MG,YUDHI ARTOMO,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300115MG,003569230MG,YUGI HERMAWAN C/O NE,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300116MG,002089746MG,YUYUN RATNANINGSIH C,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300117MG,001561246MG,FIRDA FITRIANI RONGG,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300118MG,002804399MG,LIMYANTO,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300119MG,001594798MG,ANDRE HARJOKO,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300120MG,001565180MG,ENDANG PURWANTI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300121MG,001548344MG,RAHMAT HARTONO,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300122MG,001590527MG,TENDI KURNIAWAN,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300123MG,001590527MG,TENDI KURNIAWAN C/O,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300124MG,009802653MG,ANTONIUS RAHMAD SEMB,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300125MG,001567590MG,CHRISNO SRI HERTANTO,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300126MG,000629751MG,DESMAN SIAHAAN C/O D,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300127MG,007460428MG,HERIK FITRI ASTUTIK,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
